BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
55;0a3f5087-40c1-32b8-e044-0003ba298018;2112913;110;225.0;1907;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;1890-1930;171.4;38.565;<1930;211;47.475;686884.1;6102433.9;POINT(686884.1 6102433.9);
56;0a3f5085-87a7-32b8-e044-0003ba298018;2493995;510;65.0;1966;Elovne, elpaneler;Elektricitet;2;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1961-1972;154.6;10.049;1961-1972;58;3.77;707198.54;6104828.98;POINT(707198.54 6104828.98);
57;0a3f5085-9780-32b8-e044-0003ba298018;2479110;210;120.0;1900;Ingen varmeinstallationer;;90;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;5.4;<1930;45;5.4;701311.24;6093700.17;POINT(701311.24 6093700.17);
58;0a3f5087-27b2-32b8-e044-0003ba298018;2118934;120;118.0;1946;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;19.363799999999998;1931-1950;217;25.606;685459.11;6100826.34;POINT(685459.11 6100826.34);
59;0a3f5085-a21c-32b8-e044-0003ba298018;2476142;210;150.0;1991;Ingen varmeinstallationer;;90;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1979-1998;22.0;3.3;1979-1998;22;3.3;693307.87;6090349.67;POINT(693307.87 6090349.67);
60;0a3f5086-6866-32b8-e044-0003ba298018;1314820;210;96.0;1900;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;4.32;<1930;45;4.32;693911.91;6109458.97;POINT(693911.91 6109458.97);
61;0a3f5085-a2db-32b8-e044-0003ba298018;2484902;120;306.0;2012;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;20.593799999999998;>1998;72;22.032;703375.81;6089303.5;POINT(703375.81 6089303.5);
62;0a3f5085-6014-32b8-e044-0003ba298018;544029;120;111.0;1936;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;18.2151;1931-1950;217;24.087;701018.86;6099960.53;POINT(701018.86 6099960.53);
63;0a3f5085-5db7-32b8-e044-0003ba298018;542502;210;100.0;1950;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1931-1950;45.0;4.5;1931-1950;45;4.5;695188.99;6104927.02;POINT(695188.99 6104927.02);
64;0a3f5087-3503-32b8-e044-0003ba298018;2112055;120;102.0;1973;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;12.2196;1973-1978;117;11.934;685219.66;6102201.86;POINT(685219.66 6102201.86);
